,MM,MR,MG,MI,MT,MP,MV,RM,RR,RG,RI,RT,RP,RV,GM,GR,GG,GI,GT,GP,GV,IM,IR,IG,II,IT,IP,IV,TM,TR,TG,TI,TT,TP,TV,PM,PR,PG,PI,PT,PP,PV,VM,VR,VG,VI,VT,VP,VV,fn,category
901,343,14,14,17,61,22,155,12,0,0,0,0,1,0,15,1,1,0,0,0,0,15,3,2,0,0,0,0,21,0,0,3,1,9,29,28,7,1,0,1,0,1,146,24,8,0,0,4,6,008aafc94cfdc5e41d8f5fa41abe23ac.opcodeSeq.txt,0
902,966,502,800,2115,781,488,3821,343,0,102,48,265,17,289,571,1,120,130,268,14,337,430,368,210,479,1032,124,1806,175,400,74,1250,909,334,2260,91,528,216,51,440,775,429,7050,793,667,218,782,543,1740,5d7af62c7f33522a8fe50085204d90c8.opcodeSeq.txt,0
903,1521,644,1340,2665,1087,923,6539,453,0,149,50,265,24,389,1075,22,111,95,277,36,340,277,433,122,371,1179,136,2586,112,722,67,1064,1876,753,4021,71,875,205,82,927,1774,987,11238,1729,1123,391,1457,642,3046,6fc29ab75d87a5b1e0dd792c5c68d738.opcodeSeq.txt,0
904,517,19,14,16,69,27,233,15,0,0,0,0,0,0,10,1,1,0,0,0,0,16,1,1,0,0,0,0,26,0,0,2,1,11,30,33,6,2,0,0,0,2,216,36,6,0,0,4,5,01147ee72ad07cb9c1416b9963e56f99.opcodeSeq.txt,0
905,17100,15058,18469,33843,16559,11777,98022,5134,0,3665,879,3318,332,5328,9400,1057,1781,1546,5221,419,11086,5410,5452,1537,4111,21312,1823,43410,2495,9127,1436,19448,66070,17569,66110,1046,12132,2410,825,20945,16739,14714,170827,36700,15662,13967,23935,14500,54467,1a7409b8e0f6cc299a4ac0b9ca67856e.opcodeSeq.txt,0
906,1743,1772,740,2019,1459,622,4345,257,0,302,97,226,34,284,359,76,298,143,311,87,354,526,413,113,376,1495,169,1921,667,428,89,1783,1550,423,4489,141,756,323,95,629,719,653,8976,3043,847,212,1316,879,1985,102b4f0f42a267ad9354ea104e787241.opcodeSeq.txt,0
907,2537,2854,2819,6593,3573,2451,24018,1426,0,673,158,811,45,1142,2038,188,316,215,900,49,1933,885,1032,260,678,3575,228,6055,476,2302,289,2900,3520,1406,14304,225,2529,325,118,2356,4380,3069,37463,7122,3900,1213,4631,2988,12336,c54504802ed5dc3a063c9e38a89aaebe.opcodeSeq.txt,0
908,297,388,466,562,529,418,1812,100,0,47,56,118,8,154,175,67,56,218,378,41,409,123,140,198,237,681,158,856,165,267,81,936,1823,685,1353,141,390,329,160,667,1666,447,3459,628,578,140,448,630,786,f3d8eb5c923390534da01d30d7dab130.opcodeSeq.txt,0
909,4150,4043,3926,6578,3299,2487,22299,1616,0,935,202,609,94,1178,2319,196,514,278,1097,108,3120,1403,1037,319,793,4291,403,6117,1062,2183,315,4072,48217,12598,13855,322,2631,577,181,13322,3464,3273,36035,9133,3962,1487,4750,3212,13407,b3a694ab3b58de4a944a3d4a03f67c6d.opcodeSeq.txt,0
910,201,31,16,56,47,10,444,5,0,2,2,4,0,14,15,0,0,0,2,1,3,10,8,1,7,9,5,42,37,2,0,7,15,3,81,2,11,2,0,10,16,22,534,58,25,1,22,24,259,28ec3aacbb81f7e0ca51e2374fccb09c.opcodeSeq.txt,0
911,211,291,200,397,157,101,1122,47,0,42,16,40,2,73,83,18,31,21,49,3,103,86,60,24,35,150,5,330,30,63,6,134,207,87,690,7,121,26,3,108,141,137,2024,374,134,24,240,158,458,eb7c0cf99ebc58e6a05391cc2319c89a.opcodeSeq.txt,0
912,270,37,38,219,184,142,692,31,0,6,2,17,0,25,105,0,11,16,33,5,23,49,18,9,9,81,26,217,181,8,4,131,98,38,268,41,54,17,10,65,619,82,902,191,184,20,182,33,361,5dc565a01bb789d8d171c20f52ac34c8.opcodeSeq.txt,0
913,2907,3346,3567,8005,3054,2483,18937,1063,0,638,253,822,66,1097,1934,195,413,572,1511,140,1621,988,1354,291,1244,4491,576,7714,521,1686,373,4707,3890,1918,14346,264,2709,715,182,2494,7726,3356,34738,7277,3848,788,5198,2953,10255,09c6697dbd0e5f0dc598e3d2bcd8c0b1.opcodeSeq.txt,0
914,3295,3854,3806,8702,3444,2689,20306,1165,0,703,272,915,75,1178,2071,232,445,592,1587,145,1684,1084,1476,306,1311,4983,605,8376,592,1890,417,5203,4503,2157,15654,307,3087,778,217,2794,8087,3554,37727,8040,4066,855,5512,3357,10812,097d44ba157aece681c07a3d4f650d49.opcodeSeq.txt,0
915,1226,1149,1558,4089,1645,1501,12665,624,0,265,104,468,25,549,1254,64,90,112,738,70,588,310,723,105,380,1726,213,3855,111,1195,214,1727,1928,1032,7155,70,1422,210,48,1377,2464,2171,20310,3146,2252,395,2752,1524,7076,fa8d4ee44044b0fad215cbd37b8a9646.opcodeSeq.txt,0
916,727,40,209,274,268,176,1257,34,0,8,4,37,13,72,195,0,15,4,76,12,77,63,68,13,31,259,65,264,81,59,5,331,379,199,700,34,87,85,15,256,358,214,1813,266,209,84,291,139,813,5c12d7911a2544a7edfe69ee9bbc9b89.opcodeSeq.txt,0
917,3594,3032,3406,6439,3148,2091,26658,1927,0,702,137,606,58,1212,2610,145,347,155,1041,99,2911,1003,780,248,670,3472,366,6167,835,2148,332,3091,138391,34977,14080,362,2334,404,142,35758,3644,2762,38265,7663,4634,1387,5622,2660,16395,13adcd5f066cde100a666c1cd07dae76.opcodeSeq.txt,0
918,211,291,200,397,157,101,1122,47,0,42,16,40,2,73,83,18,31,21,49,3,103,86,60,24,35,150,5,330,30,63,6,134,207,87,690,7,121,26,3,108,141,137,2024,374,134,24,240,158,458,ed323f9a664c535afc7fb75aabecb9c6.opcodeSeq.txt,0
919,103,17,13,42,42,8,293,5,0,1,2,2,0,12,6,0,0,0,1,1,6,8,7,1,4,9,5,32,32,2,0,10,11,1,62,2,6,3,0,10,13,13,361,51,16,0,23,17,92,5810c236c795c7236110fd32930de6d9.opcodeSeq.txt,0
